Model Name,GS1160
Serial Number,
Time,2016/10/23_02:08:53
Memo,
I-Time,1900
Lv,40.602665
CCT,0
Duv,0.202922
X,106.770729
Y,40.602665
Z,569.061035
x,0.149031
y,0.056673
u',0.176262
v',0.150815
x10,0.145088
y10,0.080736
u'10,0.157762
v'10,0.197524
dx,0.149031
dy,0.056673
du,0.176262
dv,0.150815
LambdaD,464
Purity,0.936591
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,452
LambdaPValue,19.97991
S,12.591339
380nm,0.001046
381nm,0.001046
382nm,0.001046
383nm,0.001042
384nm,0.000948
385nm,0.000724
386nm,0.000379
387nm,0.000125
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0.000027
401nm,0.000091
402nm,0.000201
403nm,0.000438
404nm,0.00079
405nm,0.0011
406nm,0.001076
407nm,0.000718
408nm,0.00047
409nm,0.000589
410nm,0.001047
411nm,0.001415
412nm,0.001622
413nm,0.00182
414nm,0.002251
415nm,0.002915
416nm,0.003959
417nm,0.005302
418nm,0.007054
419nm,0.009216
420nm,0.01176
421nm,0.014671
422nm,0.017725
423nm,0.021001
424nm,0.025724
425nm,0.031845
426nm,0.039768
427nm,0.048767
428nm,0.058842
429nm,0.070714
430nm,0.084015
431nm,0.099332
432nm,0.117333
433nm,0.137791
434nm,0.16219
435nm,0.189817
436nm,0.2209
437nm,0.257129
438nm,0.297349
439nm,0.343138
440nm,0.392593
441nm,0.445717
442nm,0.504488
443nm,0.567324
444nm,0.634535
445nm,0.702857
446nm,0.77201
447nm,0.83592
448nm,0.892832
449nm,0.939486
450nm,0.973096
451nm,0.994899
452nm,1
453nm,0.993982
454nm,0.974759
455nm,0.941861
456nm,0.898255
457nm,0.844893
458nm,0.789815
459nm,0.733342
460nm,0.678737
461nm,0.626579
462nm,0.578618
463nm,0.534069
464nm,0.493116
465nm,0.455654
466nm,0.420341
467nm,0.387946
468nm,0.357222
469nm,0.328254
470nm,0.301405
471nm,0.275959
472nm,0.252588
473nm,0.230588
474nm,0.210022
475nm,0.191296
476nm,0.1738
477nm,0.157782
478nm,0.142328
479nm,0.12755
480nm,0.114763
481nm,0.103716
482nm,0.094773
483nm,0.086653
484nm,0.079412
485nm,0.073115
486nm,0.067414
487nm,0.062325
488nm,0.057357
489nm,0.052621
490nm,0.048705
491nm,0.045565
492nm,0.043226
493nm,0.041092
494nm,0.039231
495nm,0.037759
496nm,0.03661
497nm,0.036086
498nm,0.036057
499nm,0.036615
500nm,0.037607
501nm,0.03891
502nm,0.040251
503nm,0.041382
504nm,0.04248
505nm,0.043977
506nm,0.045904
507nm,0.048041
508nm,0.050134
509nm,0.051946
510nm,0.053319
511nm,0.054286
512nm,0.055333
513nm,0.05666
514nm,0.057985
515nm,0.058949
516nm,0.059538
517nm,0.059964
518nm,0.060338
519nm,0.060247
520nm,0.059661
521nm,0.058542
522nm,0.05727
523nm,0.055902
524nm,0.054262
525nm,0.052396
526nm,0.050336
527nm,0.048307
528nm,0.046275
529nm,0.044129
530nm,0.041858
531nm,0.039663
532nm,0.037658
533nm,0.03588
534nm,0.0342
535nm,0.032555
536nm,0.03063
537nm,0.028389
