Model Name,GS1160
Serial Number,
Time,2016/10/23_02:35:51
Memo,
I-Time,16000
Lv,34.996872
CCT,5928
Duv,0.012518
X,31.576199
Y,34.996872
Z,31.476986
x,0.322042
y,0.356929
u',0.194028
v',0.483857
x10,0.326797
y10,0.359946
u'10,0.196105
v'10,0.485993
dx,-0.001429
dy,0.023875
du,-0.009742
dv,0.011791
LambdaD,523
Purity,0.047468
R1,94.360252
R2,93.694763
R3,69.672066
R4,85.542732
R5,85.692009
R6,82.812309
R7,96.986221
R8,82.538567
R9,36.919369
R10,63.749691
R11,65.574905
R12,64.945389
R13,91.376541
R14,79.010796
R15,94.724945
LambdaP,545
LambdaPValue,2.195286
S,2.232452
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0.000199
401nm,0.00067
402nm,0.001413
403nm,0.00223
404nm,0.003047
405nm,0.003754
406nm,0.004211
407nm,0.004416
408nm,0.004642
409nm,0.005067
410nm,0.005745
411nm,0.006772
412nm,0.008112
413nm,0.009838
414nm,0.011798
415nm,0.013994
416nm,0.016747
417nm,0.01999
418nm,0.023775
419nm,0.027776
420nm,0.031951
421nm,0.036649
422nm,0.041943
423nm,0.047849
424nm,0.054226
425nm,0.060877
426nm,0.068276
427nm,0.076769
428nm,0.086356
429nm,0.101758
430nm,0.123354
431nm,0.15139
432nm,0.181433
433nm,0.212499
434nm,0.23931
435nm,0.258288
436nm,0.269327
437nm,0.275735
438nm,0.280314
439nm,0.27949
440nm,0.271191
441nm,0.255416
442nm,0.238833
443nm,0.225458
444nm,0.216897
445nm,0.212833
446nm,0.213045
447nm,0.215987
448nm,0.218999
449nm,0.221981
450nm,0.22462
451nm,0.226904
452nm,0.228251
453nm,0.228669
454nm,0.228142
455nm,0.227283
456nm,0.226341
457nm,0.224849
458nm,0.222627
459nm,0.219739
460nm,0.217085
461nm,0.214913
462nm,0.212744
463nm,0.209891
464nm,0.206404
465nm,0.20323
466nm,0.200638
467nm,0.198188
468nm,0.195056
469nm,0.191295
470nm,0.18813
471nm,0.185852
472nm,0.184725
473nm,0.184172
474nm,0.184234
475nm,0.18534
476nm,0.187235
477nm,0.191615
478nm,0.199122
479nm,0.209991
480nm,0.225903
481nm,0.245471
482nm,0.269615
483nm,0.295763
484nm,0.323795
485nm,0.351391
486nm,0.377704
487nm,0.399609
488nm,0.416254
489nm,0.426653
490nm,0.428212
491nm,0.422947
492nm,0.408178
493nm,0.387993
494nm,0.362417
495nm,0.335202
496nm,0.308101
497nm,0.280721
498nm,0.252854
499nm,0.225017
500nm,0.198757
501nm,0.174195
502nm,0.152166
503nm,0.131716
504nm,0.113827
505nm,0.098541
506nm,0.08563
507nm,0.075565
508nm,0.06699
509nm,0.060463
510nm,0.055005
511nm,0.050641
512nm,0.047302
513nm,0.044516
514nm,0.04201
515nm,0.039202
516nm,0.03623
517nm,0.033666
518nm,0.031602
519nm,0.030097
520nm,0.028817
521nm,0.027753
522nm,0.026696
523nm,0.025659
524nm,0.025386
525nm,0.025889
526nm,0.027688
527nm,0.03034
528nm,0.034119
529nm,0.039218
530nm,0.045345
531nm,0.055347
532nm,0.068892
533nm,0.090657
534nm,0.122194
535nm,0.164716
536nm,0.225003
537nm,0.29838
538nm,0.391363
539nm,0.49514
540nm,0.607835
541nm,0.718374
542nm,0.823535
543nm,0.907438
544nm,0.973008
545nm,1
546nm,0.99627
547nm,0.954814
548nm,0.882309
549nm,0.788655
550nm,0.678526
551nm,0.566053
552nm,0.457088
553nm,0.356948
554nm,0.271017
555nm,0.204058
556nm,0.153175
557nm,0.118847
558nm,0.090459
559nm,0.070273
560nm,0.053449
561nm,0.040745
562nm,0.030986
563nm,0.023311
564nm,0.018489
565nm,0.015339
566nm,0.014624
567nm,0.015062
568nm,0.016772
569nm,0.018968
570nm,0.021798
571nm,0.026623
572nm,0.033319
