Model Name,GS1160
Serial Number,
Time,2016/10/23_02:35:26
Memo,
I-Time,26000
Lv,23.179262
CCT,6195
Duv,0.103354
X,11.121707
Y,23.179262
Z,3.840874
x,0.291588
y,0.607712
u',0.120126
v',0.563313
x10,0.322403
y10,0.593785
u'10,0.136026
v'10,0.563683
dx,-0.026987
dy,0.279217
du,-0.08199
dv,0.09439
LambdaD,546
Purity,0.712664
R1,-15.192514
R2,31.758373
R3,65.93441
R4,-36.294495
R5,-4.406571
R6,19.199093
R7,39.058399
R8,-18.392233
R9,-327.26059
R10,-32.960739
R11,-66.79406
R12,-15.423985
R13,-11.234012
R14,81.376549
R15,-27.014145
LambdaP,545
LambdaPValue,1.990551
S,1.876434
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0.000005
398nm,0.000025
399nm,0.000059
400nm,0.000091
401nm,0.000108
402nm,0.000109
403nm,0.000093
404nm,0.000064
405nm,0.000033
406nm,0.000026
407nm,0.000042
408nm,0.000055
409nm,0.000049
410nm,0.000036
411nm,0.000093
412nm,0.000223
413nm,0.000346
414nm,0.000341
415nm,0.000208
416nm,0.00009
417nm,0.000051
418nm,0.000082
419nm,0.000089
420nm,0.000064
421nm,0.000027
422nm,0.000005
423nm,0
424nm,0
425nm,0
426nm,0
427nm,0
428nm,0
429nm,0
430nm,0
431nm,0.00003
432nm,0.000183
433nm,0.000459
434nm,0.000753
435nm,0.000926
436nm,0.000987
437nm,0.001146
438nm,0.001448
439nm,0.001797
440nm,0.00197
441nm,0.001966
442nm,0.001867
443nm,0.001763
444nm,0.001692
445nm,0.001723
446nm,0.001856
447nm,0.001927
448nm,0.001847
449nm,0.001661
450nm,0.001617
451nm,0.001742
452nm,0.001965
453nm,0.002155
454nm,0.002298
455nm,0.002371
456nm,0.002382
457nm,0.002355
458nm,0.002348
459nm,0.002384
460nm,0.00262
461nm,0.003048
462nm,0.003828
463nm,0.004916
464nm,0.006325
465nm,0.008026
466nm,0.009898
467nm,0.011921
468nm,0.013934
469nm,0.015981
470nm,0.01876
471nm,0.022275
472nm,0.02668
473nm,0.031441
474nm,0.036592
475nm,0.042548
476nm,0.04915
477nm,0.056861
478nm,0.065467
479nm,0.075129
480nm,0.087727
481nm,0.102864
482nm,0.120948
483nm,0.140019
484nm,0.159988
485nm,0.179417
486nm,0.197887
487nm,0.213852
488nm,0.227162
489nm,0.237262
490nm,0.242496
491nm,0.24388
492nm,0.239878
493nm,0.232782
494nm,0.222338
495nm,0.209701
496nm,0.195873
497nm,0.18074
498nm,0.16512
499nm,0.149261
500nm,0.134102
501nm,0.119763
502nm,0.106429
503nm,0.093604
504nm,0.081922
505nm,0.07185
506nm,0.063315
507nm,0.056769
508nm,0.051337
509nm,0.047281
510nm,0.043736
511nm,0.040718
512nm,0.038297
513nm,0.036253
514nm,0.034643
515nm,0.033177
516nm,0.031825
517nm,0.030402
518nm,0.028865
519nm,0.027468
520nm,0.026332
521nm,0.025606
522nm,0.025245
523nm,0.02522
524nm,0.025507
525nm,0.025925
526nm,0.027076
527nm,0.029152
528nm,0.03247
529nm,0.037299
530nm,0.043323
531nm,0.053449
532nm,0.067237
533nm,0.089017
534nm,0.119894
535nm,0.161106
536nm,0.220056
537nm,0.292416
538nm,0.384862
539nm,0.488366
540nm,0.601535
541nm,0.713846
542nm,0.821957
543nm,0.907811
544nm,0.973581
545nm,1
546nm,0.997063
547nm,0.957713
548nm,0.887595
549nm,0.796168
550nm,0.687398
551nm,0.575516
552nm,0.466286
553nm,0.365739
554nm,0.279126
555nm,0.211028
556nm,0.158602
557nm,0.122656
558nm,0.092846
559nm,0.07159
560nm,0.053923
561nm,0.040798
562nm,0.031191
563nm,0.024158
564nm,0.020149
565nm,0.017676
566nm,0.016873
567nm,0.016409
568nm,0.016758
569nm,0.018136
570nm,0.02078
571nm,0.025382
572nm,0.031458
573nm,0.039308
574nm,0.047813
575nm,0.057673
576nm,0.068657
577nm,0.080563
578nm,0.092436
579nm,0.103777
580nm,0.113793
581nm,0.12274
582nm,0.128869
583nm,0.132817
584nm,0.133887
585nm,0.133495
586nm,0.13126
587nm,0.126647
588nm,0.120035
589nm,0.111541
590nm,0.102399
591nm,0.092503
592nm,0.0824
593nm,0.072247
594nm,0.062312
595nm,0.052869
596nm,0.044093
597nm,0.036235
598nm,0.030294
599nm,0.025937
600nm,0.022922
601nm,0.02
602nm,0.017815
603nm,0.01644
604nm,0.016663
605nm,0.018377
