Model Name,GS1160
Serial Number,16J00197
Time,2016/10/21_15:24:06
708nm,0.028777
709nm,0.027996
710nm,0.027472
711nm,0.027067
712nm,0.026429
713nm,0.025504
714nm,0.024254
715nm,0.022973
716nm,0.021898
717nm,0.02118
718nm,0.021035
719nm,0.021116
720nm,0.021143
721nm,0.020426
722nm,0.01889
723nm,0.017218
724nm,0.015945
725nm,0.015166
726nm,0.014338
727nm,0.013281
728nm,0.012824
729nm,0.014017
730nm,0.015258
731nm,0.014759
732nm,0.012779
733nm,0.011248
734nm,0.009871
735nm,0.007851
736nm,0.006397
737nm,0.006546
738nm,0.007436
739nm,0.007624
740nm,0.00746
741nm,0.006531
742nm,0.005165
743nm,0.00482
744nm,0.005874
745nm,0.007506
746nm,0.00829
747nm,0.008647
748nm,0.008498
749nm,0.007815
750nm,0.00663
751nm,0.00614
752nm,0.006888
753nm,0.007479
754nm,0.007004
755nm,0.005091
756nm,0.003668
757nm,0.003825
758nm,0.004249
759nm,0.003955
760nm,0.003388
761nm,0.003366
762nm,0.003698
763nm,0.004095
764nm,0.00535
765nm,0.006705
766nm,0.006972
767nm,0.00526
768nm,0.003453
769nm,0.002021
770nm,0.001615
771nm,0.001576
772nm,0.001447
773nm,0.002491
774nm,0.004982
775nm,0.006345
776nm,0.005931
777nm,0.004087
778nm,0.00359
779nm,0.00359
780nm,0.00359
