Model Name,GS1160
Serial Number,
Time,2016/10/23_02:25:08
Memo,
I-Time,4100
Lv,15.271763
CCT,0
Duv,0.210069
X,50.547714
Y,15.271763
Z,259.03241
x,0.155602
y,0.047011
u',0.191338
v',0.130068
x10,0.151342
y10,0.067511
u'10,0.172595
v'10,0.173232
dx,0.155602
dy,0.047011
du,0.191338
dv,0.130068
LambdaD,460
Purity,0.941738
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,447
LambdaPValue,9.469942
S,13.253792
380nm,0.001991
381nm,0.001991
382nm,0.001991
383nm,0.002475
384nm,0.002904
385nm,0.003046
386nm,0.002419
387nm,0.001649
388nm,0.00097
389nm,0.000449
390nm,0.000126
391nm,0
392nm,0.000196
393nm,0.000673
394nm,0.001409
395nm,0.001668
396nm,0.001364
397nm,0.000653
398nm,0.00029
399nm,0.000275
400nm,0.000429
401nm,0.000523
402nm,0.000567
403nm,0.000707
404nm,0.000958
405nm,0.00132
406nm,0.001701
407nm,0.002099
408nm,0.002681
409nm,0.003478
410nm,0.004486
411nm,0.005516
412nm,0.006526
413nm,0.007791
414nm,0.009562
415nm,0.011839
416nm,0.014801
417nm,0.018258
418nm,0.022522
419nm,0.027909
420nm,0.034374
421nm,0.042329
422nm,0.051359
423nm,0.061549
424nm,0.07355
425nm,0.087009
426nm,0.102655
427nm,0.120124
428nm,0.139414
429nm,0.161972
430nm,0.187214
431nm,0.21594
432nm,0.248423
433nm,0.284235
434nm,0.325539
435nm,0.371449
436nm,0.422232
437nm,0.479324
438nm,0.541076
439nm,0.607916
440nm,0.676165
441nm,0.745822
442nm,0.8119
443nm,0.873367
444nm,0.92561
445nm,0.965237
446nm,0.992563
447nm,1
448nm,0.992614
449nm,0.967469
450nm,0.92907
451nm,0.880035
452nm,0.821314
453nm,0.759889
454nm,0.696287
455nm,0.634676
456nm,0.575778
457nm,0.521939
458nm,0.472447
