Model Name,GS1160
Serial Number,
Time,2016/10/23_02:24:54
714nm,0
715nm,0.000043
716nm,0.000344
717nm,0.000737
718nm,0.000827
719nm,0.00095
720nm,0.001855
721nm,0.002855
722nm,0.00286
723nm,0.002086
724nm,0.001712
725nm,0.001618
726nm,0.001181
727nm,0.000916
728nm,0.001154
729nm,0.00123
730nm,0.00092
731nm,0.000838
732nm,0.000973
733nm,0.000788
734nm,0.000297
735nm,0
736nm,0
737nm,0.000381
738nm,0.001552
739nm,0.002547
740nm,0.002603
741nm,0.002058
742nm,0.001781
743nm,0.001643
744nm,0.001168
745nm,0.000778
746nm,0.000702
747nm,0.000553
748nm,0.000225
749nm,0.000037
750nm,0.000196
751nm,0.000841
752nm,0.002237
753nm,0.003198
754nm,0.003172
755nm,0.002125
756nm,0.001186
757nm,0.000607
758nm,0.000225
759nm,0.00004
760nm,0
761nm,0.000199
762nm,0.00097
763nm,0.001907
764nm,0.002612
765nm,0.002201
766nm,0.001352
767nm,0.000798
768nm,0.000693
769nm,0.000617
770nm,0.000706
771nm,0.001288
772nm,0.002466
773nm,0.002736
774nm,0.00195
775nm,0.000959
776nm,0.000687
777nm,0.001075
778nm,0.001314
779nm,0.001314
780nm,0.001314
