Model Name,GS1160
Serial Number,
Time,2016/10/23_02:24:42
Memo,
I-Time,14000
Lv,46.556061
CCT,0
Duv,0.573647
X,90.113632
Y,46.556061
Z,2.166141
x,0.649066
y,0.335332
u',0.453429
v',0.527081
x10,0.644433
y10,0.339216
u'10,0.445841
v'10,0.528033
dx,0.649066
dy,0.335332
du,0.453429
dv,0.527081
LambdaD,610
Purity,0.949799
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,613
LambdaPValue,3.091777
S,0.169944
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0
417nm,0
418nm,0
419nm,0
420nm,0
421nm,0.000005
422nm,0.000018
423nm,0.000052
424nm,0.000345
425nm,0.000892
426nm,0.001761
427nm,0.002809
428nm,0.004037
429nm,0.005182
430nm,0.006111
431nm,0.00687
432nm,0.007793
433nm,0.008913
434nm,0.010256
435nm,0.011711
436nm,0.013276
437nm,0.014839
438nm,0.016358
439nm,0.017819
440nm,0.019245
441nm,0.020635
442nm,0.021983
443nm,0.023307
444nm,0.024475
445nm,0.025294
446nm,0.025765
447nm,0.025531
448nm,0.024701
449nm,0.02329
450nm,0.021825
451nm,0.020412
452nm,0.018859
453nm,0.017067
454nm,0.015083
455nm,0.013289
456nm,0.011748
457nm,0.010474
458nm,0.009293
459nm,0.008235
460nm,0.007433
461nm,0.006856
462nm,0.006485
463nm,0.006133
464nm,0.005788
465nm,0.005323
466nm,0.004732
467nm,0.004067
468nm,0.003474
469nm,0.002956
470nm,0.002492
471nm,0.002051
472nm,0.001678
473nm,0.001386
474nm,0.001178
475nm,0.001043
476nm,0.000945
477nm,0.000933
478nm,0.001013
479nm,0.001173
480nm,0.001217
481nm,0.001104
482nm,0.00084
483nm,0.00057
484nm,0.000322
485nm,0.000346
486nm,0.000647
487nm,0.000982
488nm,0.000968
489nm,0.000651
490nm,0.00052
491nm,0.000709
492nm,0.00105
493nm,0.001211
494nm,0.001225
495nm,0.001327
496nm,0.001574
497nm,0.001887
498nm,0.002134
499nm,0.002343
500nm,0.002629
501nm,0.003006
502nm,0.003233
503nm,0.003209
504nm,0.003079
505nm,0.003263
506nm,0.003795
507nm,0.004349
508nm,0.004713
509nm,0.004931
510nm,0.005226
511nm,0.005606
512nm,0.006059
513nm,0.006549
514nm,0.006964
515nm,0.007225
516nm,0.007338
517nm,0.007428
518nm,0.007545
519nm,0.007793
520nm,0.008173
521nm,0.008596
522nm,0.008845
523nm,0.008907
524nm,0.008979
525nm,0.009168
526nm,0.00938
527nm,0.009461
528nm,0.00941
529nm,0.009318
530nm,0.009229
531nm,0.00926
532nm,0.009424
533nm,0.009701
534nm,0.009954
535nm,0.010153
536nm,0.01022
537nm,0.010176
538nm,0.00996
539nm,0.009643
540nm,0.009317
541nm,0.009196
542nm,0.009306
543nm,0.009615
544nm,0.009983
545nm,0.010254
546nm,0.010297
547nm,0.010106
548nm,0.009825
549nm,0.009528
550nm,0.009529
551nm,0.009841
552nm,0.010158
553nm,0.010016
554nm,0.009491
555nm,0.009045
556nm,0.008835
557nm,0.008891
558nm,0.009057
559nm,0.009261
560nm,0.009365
561nm,0.00942
562nm,0.009577
563nm,0.009852
564nm,0.010065
565nm,0.010134
566nm,0.010427
567nm,0.011171
568nm,0.012406
569nm,0.013815
570nm,0.0154
571nm,0.01748
572nm,0.020015
573nm,0.023165
574nm,0.026589
575nm,0.031288
576nm,0.037541
577nm,0.045559
578nm,0.054718
579nm,0.064676
580nm,0.076665
581nm,0.090311
582nm,0.107479
583nm,0.127047
584nm,0.150163
585nm,0.175517
586nm,0.2036
587nm,0.234754
588nm,0.268527
589nm,0.30631
