Model Name, AS7265x
Time, 2019-02-11_19:29:00
DUT, monoprice_32
Temperature, 32764
X, 363.604525
Y, 360.556262
Z, 512.559410
x, 0.294007
y, 0.291542
410nm,6.499252
435nm,121.734520
460nm,163.702942
485nm,38.702351
510nm,78.300850
535nm,125.942406
560nm,73.195473
585nm,48.486435
610nm,137.928635
645nm,35.698601
680nm,44.820347
705nm,10.187658
730nm,11.831083
760nm,7.766198
810nm,7.167040
860nm,5.568255
900nm,1.819025
940nm,1.810236
