Model Name, AS72625x
Serial Number, 
Time, 2019-02-03_14:50:54
DUT, Monoprice 4K
Temperature, 32767
X, 83.162489
Y, 31.481197
Z, 431.260150
x, 0.152339
y, 0.057668
410nm,3.713858
435nm,103.230873
460nm,146.980591
485nm,24.188971
510nm,15.818354
535nm,6.403852
560nm,1.535569
585nm,0.923551
610nm,1.209900
645nm,0.759545
680nm,0.974355
705nm,0.351299
730nm,0.000000
760nm,0.000000
810nm,1.791760
860nm,1.113651
900nm,0.000000
940nm,0.000000
