Model Name, AS7265x
Time, 2019-02-11_19:28:50
DUT, monoprice_32
Temperature, 32764
X, 125.611502
Y, 253.506148
Z, 46.576969
x, 0.295074
y, 0.595512
410nm,1.856929
435nm,6.817133
460nm,7.921110
485nm,13.545823
510nm,60.900661
535nm,120.250099
560nm,71.659904
585nm,42.021576
610nm,8.469302
645nm,0.759545
680nm,0.000000
705nm,0.702597
730nm,0.000000
760nm,0.862911
810nm,1.791760
860nm,2.227302
900nm,1.212683
940nm,0.905118
