Model Name,GS1160
Serial Number,
Time,2016/10/23_02:43:13
Memo,
I-Time,3700
Lv,293.041412
CCT,6552
Duv,0.004232
X,276.754272
Y,293.041412
Z,318.223358
x,0.311654
y,0.329994
u',0.196732
v',0.468696
x10,0.317091
y10,0.32772
u'10,0.201377
v'10,0.468286
dx,-0.001088
dy,0.007108
du,-0.00345
dv,0.003676
LambdaD,490
Purity,0.075513
R1,82.908333
R2,84.653313
R3,83.422417
R4,84.450455
R5,82.245865
R6,78.589729
R7,87.368462
R8,70.157051
R9,2.860192
R10,60.691616
R11,83.649223
R12,50.451862
R13,83.927048
R14,92.009277
R15,75.943535
LambdaP,450
LambdaPValue,10.116038
S,2.185609
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0.00006
409nm,0.000194
410nm,0.000428
411nm,0.000832
412nm,0.001391
413nm,0.002237
414nm,0.003379
415nm,0.004816
416nm,0.0068
417nm,0.009235
418nm,0.012329
419nm,0.016184
420nm,0.020762
421nm,0.026233
422nm,0.032272
423nm,0.038951
424nm,0.04709
425nm,0.056502
426nm,0.067786
427nm,0.080576
428nm,0.094871
429nm,0.111412
430nm,0.129632
431nm,0.150113
432nm,0.173293
433nm,0.198903
434nm,0.228384
435nm,0.261013
436nm,0.297037
437nm,0.338502
438nm,0.384284
439nm,0.435801
440nm,0.490702
441nm,0.548987
442nm,0.610991
443nm,0.675142
444nm,0.740594
445nm,0.803945
446nm,0.865045
447nm,0.915929
448nm,0.956114
449nm,0.982657
450nm,0.996656
451nm,1
452nm,0.987966
453nm,0.965479
454nm,0.931152
455nm,0.886921
456nm,0.835575
457nm,0.77796
458nm,0.719528
459nm,0.660871
460nm,0.606451
461nm,0.556547
462nm,0.512801
463nm,0.472742
464nm,0.436665
465nm,0.405447
466nm,0.377641
467nm,0.354081
468nm,0.332503
469nm,0.312971
470nm,0.295352
471nm,0.278796
472nm,0.263663
473nm,0.249297
474nm,0.235758
475nm,0.223689
476nm,0.212748
477nm,0.203051
478nm,0.193668
479nm,0.184674
480nm,0.176969
481nm,0.170415
482nm,0.165189
483nm,0.160399
484nm,0.156129
485nm,0.152918
486nm,0.150581
487nm,0.149161
488nm,0.147942
489nm,0.1471
490nm,0.147539
491nm,0.149182
492nm,0.152408
493nm,0.15645
494nm,0.161507
495nm,0.167759
496nm,0.174942
497nm,0.183438
498nm,0.192701
499nm,0.203068
500nm,0.214728
501nm,0.227493
502nm,0.241225
503nm,0.255188
