Model Name,GS1160
Serial Number,
Time,2016/10/23_02:42:37
Memo,
I-Time,9000
Lv,176.409256
CCT,5566
Duv,0.08098
X,103.720055
Y,176.409256
Z,33.881275
x,0.330308
y,0.561794
u',0.145495
v',0.556788
x10,0.358141
y10,0.543781
u'10,0.162623
v'10,0.555566
dx,-0.000658
dy,0.222021
du,-0.060863
dv,0.080125
LambdaD,554
Purity,0.68755
R1,0.86459
R2,43.662178
R3,79.58091
R4,8.113077
R5,14.14648
R6,33.795818
R7,67.614113
R8,-10.720814
R9,-304.491608
R10,-11.384272
R11,-8.838816
R12,-4.925155
R13,8.208518
R14,85.298851
R15,-21.929989
LambdaP,547
LambdaPValue,3.884605
S,1.691745
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0.000017
411nm,0.000136
412nm,0.000357
413nm,0.000552
414nm,0.000544
415nm,0.000333
416nm,0.00012
417nm,0.000009
418nm,0.000061
419nm,0.000332
420nm,0.000814
421nm,0.001285
422nm,0.001518
423nm,0.001539
424nm,0.001973
425nm,0.002898
426nm,0.004317
427nm,0.005805
428nm,0.007362
429nm,0.008955
430nm,0.010547
431nm,0.012313
432nm,0.014818
433nm,0.018063
434nm,0.022412
435nm,0.027607
436nm,0.033736
437nm,0.04174
438nm,0.051317
439nm,0.062684
440nm,0.074676
441nm,0.087294
442nm,0.101078
443nm,0.115773
444nm,0.130921
445nm,0.144911
446nm,0.15768
447nm,0.166851
448nm,0.17258
449nm,0.174167
450nm,0.172607
451nm,0.16851
452nm,0.16141
453nm,0.15272
454nm,0.142384
455nm,0.131335
456nm,0.119997
457nm,0.109417
458nm,0.100337
459nm,0.092959
460nm,0.087633
461nm,0.083851
462nm,0.08243
463nm,0.082689
464nm,0.084751
465nm,0.088884
466nm,0.094429
467nm,0.101378
468nm,0.10853
469nm,0.115896
470nm,0.123529
471nm,0.131343
472nm,0.139075
473nm,0.146351
474nm,0.153118
475nm,0.158699
476nm,0.163298
477nm,0.166382
478nm,0.168416
479nm,0.169406
480nm,0.170006
481nm,0.170681
482nm,0.171253
483nm,0.171523
484nm,0.17155
485nm,0.172096
486nm,0.173289
487nm,0.17507
488nm,0.176854
489nm,0.178807
490nm,0.181891
491nm,0.186106
492nm,0.192083
493nm,0.199236
494nm,0.207882
495nm,0.218394
496nm,0.230391
497nm,0.244435
498nm,0.259643
499nm,0.276381
500nm,0.294612
501nm,0.314051
502nm,0.334797
503nm,0.356087
504nm,0.378342
505nm,0.401695
506nm,0.426067
507nm,0.451064
508nm,0.476086
509nm,0.500988
510nm,0.525623
511nm,0.549958
512nm,0.573905
513nm,0.597584
514nm,0.621425
515nm,0.645839
516nm,0.670507
517nm,0.69419
518nm,0.716713
519nm,0.737851
520nm,0.758361
521nm,0.777778
522nm,0.796086
523nm,0.813339
524nm,0.829407
525nm,0.844847
526nm,0.85936
527nm,0.873366
528nm,0.88668
529nm,0.899117
530nm,0.910853
531nm,0.921754
532nm,0.932294
533nm,0.942298
534nm,0.951912
535nm,0.961004
536nm,0.968521
537nm,0.974635
538nm,0.979606
539nm,0.984685
540nm,0.989601
541nm,0.993843
542nm,0.997342
543nm,0.999044
544nm,0.999377
545nm,0.998941
546nm,0.99933
547nm,1
548nm,0.9993
549nm,0.996965
550nm,0.993686
551nm,0.99056
552nm,0.986987
553nm,0.98251
554nm,0.977093
555nm,0.971265
556nm,0.96532
557nm,0.958609
558nm,0.951202
559nm,0.942873
560nm,0.934208
561nm,0.924946
562nm,0.914917
563nm,0.904174
564nm,0.892492
565nm,0.880278
566nm,0.868333
567nm,0.857348
568nm,0.846566
569nm,0.834461
570nm,0.820821
571nm,0.806362
572nm,0.791853
573nm,0.77726
574nm,0.762616
575nm,0.74785
576nm,0.732968
577nm,0.717826
578nm,0.702253
579nm,0.68629
580nm,0.670078
581nm,0.65386
582nm,0.636927
583nm,0.619167
584nm,0.600559
585nm,0.581801
586nm,0.563129
587nm,0.54478
588nm,0.526701
589nm,0.508284
590nm,0.489315
591nm,0.469193
592nm,0.448318
593nm,0.42741
594nm,0.407518
595nm,0.38841
596nm,0.368938
597nm,0.348727
598nm,0.328139
599nm,0.307601
600nm,0.288275
601nm,0.270123
602nm,0.25289
603nm,0.235335
604nm,0.218019
605nm,0.201584
606nm,0.186282
607nm,0.171831
608nm,0.158147
609nm,0.146187
610nm,0.135656
611nm,0.125725
612nm,0.115253
613nm,0.10539
614nm,0.096858
615nm,0.089772
616nm,0.083052
617nm,0.076784
618nm,0.071117
619nm,0.066126
620nm,0.061763
621nm,0.057748
622nm,0.05389
623nm,0.049993
624nm,0.046666
625nm,0.043972
626nm,0.041814
627nm,0.039593
628nm,0.037451
629nm,0.035486
630nm,0.033687
631nm,0.031907
632nm,0.03028
633nm,0.028967
634nm,0.02788
635nm,0.026715
636nm,0.025379
637nm,0.024086
638nm,0.023045
639nm,0.022503
640nm,0.022289
641nm,0.02191
642nm,0.021066
643nm,0.019831
644nm,0.018617
645nm,0.017419
646nm,0.016217
647nm,0.015176
648nm,0.014329
649nm,0.01384
650nm,0.01359
651nm,0.013326
652nm,0.012793
653nm,0.012152
654nm,0.011732
655nm,0.011564
656nm,0.011407
657nm,0.01123
658nm,0.011144
659nm,0.011134
660nm,0.011078
661nm,0.01114
662nm,0.01161
663nm,0.012241
664nm,0.012463
665nm,0.012256
666nm,0.012194
667nm,0.012411
668nm,0.012388
669nm,0.012086
670nm,0.012075
671nm,0.012566
672nm,0.013186
673nm,0.013622
674nm,0.014022
675nm,0.014492
676nm,0.014965
677nm,0.015361
678nm,0.015668
679nm,0.015904
680nm,0.016077
681nm,0.016223
682nm,0.016358
683nm,0.016538
684nm,0.016794
685nm,0.017376
686nm,0.018441
687nm,0.019415
688nm,0.019703
689nm,0.0194
690nm,0.019191
691nm,0.019737
692nm,0.020869
693nm,0.02165
694nm,0.021556
695nm,0.020997
696nm,0.020846
697nm,0.020457
698nm,0.019309
699nm,0.018854
700nm,0.019737
701nm,0.02063
702nm,0.020187
703nm,0.019209
704nm,0.01895
705nm,0.019096
706nm,0.019257
707nm,0.019726
708nm,0.020013
709nm,0.019507
710nm,0.018301
711nm,0.017122
712nm,0.016542
713nm,0.016261
714nm,0.015844
715nm,0.015137
716nm,0.014162
717nm,0.01339
718nm,0.013135
719nm,0.013134
720nm,0.012998
721nm,0.012517
722nm,0.011972
723nm,0.011795
724nm,0.0119
725nm,0.011514
726nm,0.010574
727nm,0.009564
728nm,0.009307
729nm,0.00983
730nm,0.00989
731nm,0.008904
732nm,0.006954
733nm,0.004884
734nm,0.005027
735nm,0.00663
736nm,0.008063
737nm,0.008069
738nm,0.007808
739nm,0.00785
740nm,0.007218
741nm,0.006923
742nm,0.007669
743nm,0.008603
744nm,0.008399
745nm,0.007685
746nm,0.00754
747nm,0.007577
748nm,0.007104
749nm,0.006446
750nm,0.006193
751nm,0.006474
752nm,0.006955
753nm,0.007813
754nm,0.009193
755nm,0.009858
756nm,0.009632
757nm,0.009289
758nm,0.009199
759nm,0.008477
760nm,0.007646
761nm,0.007369
762nm,0.007331
763nm,0.006991
764nm,0.00706
765nm,0.006662
766nm,0.005605
767nm,0.004589
768nm,0.005243
769nm,0.007026
770nm,0.007578
771nm,0.006888
772nm,0.005063
773nm,0.00457
774nm,0.005544
775nm,0.006386
776nm,0.006672
777nm,0.006112
778nm,0.006202
779nm,0.006202
780nm,0.006202
