Model Name,GS1160
Serial Number,
Time,2016/10/23_02:42:56
Memo,
I-Time,4100
Lv,48.84499
CCT,0
Duv,0.234261
X,58.614666
Y,48.84499
Z,270.277893
x,0.155173
y,0.129309
u',0.146342
v',0.274389
x10,0.155545
y10,0.146945
u'10,0.139745
v'10,0.297042
dx,0.155173
dy,0.129309
du,0.146342
dv,0.274389
LambdaD,474
Purity,0.806207
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,450
LambdaPValue,8.995143
S,6.443074
380nm,0.000248
381nm,0.000248
382nm,0.000248
383nm,0.000185
384nm,0.000102
385nm,0.000019
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0.000002
395nm,0.000045
396nm,0.000131
397nm,0.000224
398nm,0.000234
399nm,0.00016
400nm,0.000064
401nm,0.000011
402nm,0.000006
403nm,0.000085
404nm,0.000235
405nm,0.00042
406nm,0.000537
407nm,0.000584
408nm,0.000761
409nm,0.001146
410nm,0.001741
411nm,0.002376
412nm,0.003013
413nm,0.003908
414nm,0.005282
415nm,0.007136
416nm,0.009115
417nm,0.010989
418nm,0.013063
419nm,0.016185
420nm,0.020365
421nm,0.025695
422nm,0.031617
423nm,0.038191
424nm,0.046015
425nm,0.054894
426nm,0.065442
427nm,0.077497
428nm,0.091059
429nm,0.107129
430nm,0.125189
431nm,0.145788
432nm,0.168996
433nm,0.194497
434nm,0.22376
435nm,0.256166
436nm,0.291954
437nm,0.33303
438nm,0.378272
439nm,0.428999
440nm,0.482894
441nm,0.539958
442nm,0.600775
443nm,0.663895
444nm,0.728318
445nm,0.790235
446nm,0.849488
447nm,0.900228
448nm,0.942649
449nm,0.973723
450nm,0.99235
451nm,1
452nm,0.991699
453nm,0.97248
454nm,0.940878
455nm,0.898837
456nm,0.849271
457nm,0.792752
458nm,0.734881
459nm,0.676136
460nm,0.62057
461nm,0.568642
462nm,0.522183
463nm,0.479531
464nm,0.440891
465nm,0.406135
466nm,0.373764
467nm,0.344518
468nm,0.316927
469nm,0.291102
470nm,0.267808
