Model Name,GS1160
Serial Number,
Time,2016/10/23_02:05:54
Memo,
I-Time,7200
Lv,62.172657
CCT,6315
Duv,0.102045
X,29.958593
Y,62.172657
Z,12.552547
x,0.286182
y,0.593909
u',0.11981
v',0.559439
x10,0.313915
y10,0.586829
u'10,0.13338
v'10,0.561015
dx,-0.030347
dy,0.267359
du,-0.081623
dv,0.091865
LambdaD,544
Purity,0.65522
R1,-6.945139
R2,35.202534
R3,62.656445
R4,-33.661469
R5,2.664939
R6,26.203011
R7,34.95129
R8,-13.533713
R9,-291.988251
R10,-22.0434
R11,-61.121235
R12,-2.209365
R13,-4.267234
R14,80.964447
R15,-19.50491
LambdaP,545
LambdaPValue,4.958668
S,2.064755
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0.000026
398nm,0.000119
399nm,0.000279
400nm,0.000382
401nm,0.000351
402nm,0.00019
403nm,0.000062
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0.000034
411nm,0.000266
412nm,0.000696
413nm,0.001077
414nm,0.001061
415nm,0.000648
416nm,0.000267
417nm,0.000122
418nm,0.000191
419nm,0.000206
420nm,0.000148
421nm,0.000061
422nm,0.000012
423nm,0
424nm,0
425nm,0
426nm,0
427nm,0
428nm,0
429nm,0.000059
430nm,0.000189
431nm,0.000386
432nm,0.00058
433nm,0.000761
434nm,0.000847
435nm,0.000805
436nm,0.000637
437nm,0.000477
438nm,0.000371
439nm,0.000306
440nm,0.000222
441nm,0.00012
442nm,0.000081
443nm,0.000121
444nm,0.000221
445nm,0.000275
446nm,0.000278
447nm,0.00042
448nm,0.000771
449nm,0.001211
450nm,0.001259
451nm,0.000877
452nm,0.000382
453nm,0.000157
454nm,0.000201
455nm,0.000318
456nm,0.000437
457nm,0.000594
458nm,0.000806
459nm,0.001082
460nm,0.001449
461nm,0.001886
462nm,0.002568
463nm,0.003549
464nm,0.004865
465nm,0.006704
466nm,0.008947
467nm,0.011744
468nm,0.014866
469nm,0.018368
470nm,0.022956
471nm,0.028489
472nm,0.035485
473nm,0.043514
474nm,0.052614
475nm,0.062893
476nm,0.073891
477nm,0.086038
478nm,0.09903
479nm,0.113014
480nm,0.129679
481nm,0.14865
482nm,0.169962
483nm,0.191593
484nm,0.213457
485nm,0.234554
486nm,0.25475
487nm,0.272428
488nm,0.287345
489nm,0.299007
490nm,0.306168
491nm,0.309888
492nm,0.307977
493nm,0.302101
494nm,0.292014
495nm,0.279504
496nm,0.265852
497nm,0.250585
498nm,0.234366
499nm,0.217309
500nm,0.200393
501nm,0.183852
502nm,0.168172
503nm,0.153195
504nm,0.139525
505nm,0.127422
506nm,0.116784
507nm,0.107872
508nm,0.099848
509nm,0.093213
510nm,0.087524
511nm,0.082749
512nm,0.078318
513nm,0.073809
514nm,0.069549
515nm,0.065748
