Model Name,GS1160
Serial Number,
Time,2016/10/23_02:06:13
Memo,
I-Time,18000
Lv,8.328742
CCT,0
Duv,0.222234
X,20.438364
Y,8.328742
Z,95.261124
x,0.164788
y,0.067152
u',0.189616
v',0.173856
x10,0.158216
y10,0.095414
u'10,0.165301
v'10,0.224297
dx,0.164788
dy,0.067152
du,0.189616
dv,0.173856
LambdaD,461
Purity,0.881912
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,439
LambdaPValue,2.057441
S,11.251677
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0.000006
395nm,0.000159
396nm,0.00046
397nm,0.00139
398nm,0.003586
399nm,0.007047
400nm,0.011768
401nm,0.017144
402nm,0.023056
403nm,0.027772
404nm,0.031115
405nm,0.033574
406nm,0.036862
407nm,0.040978
408nm,0.044734
409nm,0.04747
410nm,0.04946
411nm,0.052876
412nm,0.057918
413nm,0.06537
414nm,0.074792
415nm,0.086183
416nm,0.099635
417nm,0.114352
418nm,0.130909
419nm,0.149567
420nm,0.170216
421nm,0.19282
422nm,0.216229
423nm,0.240528
424nm,0.266603
425nm,0.294187
426nm,0.324211
427nm,0.356506
428nm,0.391074
429nm,0.440214
430nm,0.50519
431nm,0.586981
432nm,0.675383
433nm,0.767877
434nm,0.849777
435nm,0.910331
436nm,0.949223
437nm,0.974933
438nm,0.995099
439nm,1
440nm,0.984503
441nm,0.948607
442nm,0.908366
443nm,0.874586
444nm,0.852213
445nm,0.843469
446nm,0.847908
447nm,0.85858
448nm,0.866816
449nm,0.87227
450nm,0.876046
451nm,0.878574
452nm,0.879348
453nm,0.878963
454nm,0.876786
455nm,0.871052
456nm,0.86207
457nm,0.849469
458nm,0.83535
459nm,0.81969
460nm,0.803338
461nm,0.78681
462nm,0.769599
463nm,0.751515
464nm,0.732587
465nm,0.713634
466nm,0.695
467nm,0.676485
468nm,0.65767
469nm,0.638523
470nm,0.618721
471nm,0.598393
472nm,0.577541
473nm,0.556639
474nm,0.535729
475nm,0.515624
476nm,0.496346
477nm,0.478827
478nm,0.463064
479nm,0.449304
480nm,0.440219
481nm,0.435028
482nm,0.434376
483nm,0.435274
484nm,0.437702
485nm,0.440586
486nm,0.443271
487nm,0.443437
488nm,0.439813
489nm,0.431837
490nm,0.418508
491nm,0.401277
492nm,0.378443
493nm,0.35226
494nm,0.322877
495nm,0.293104
496nm,0.264021
497nm,0.236456
498nm,0.21018
499nm,0.185597
500nm,0.162662
501nm,0.141061
502nm,0.122166
503nm,0.105349
504nm,0.091284
505nm,0.07915
506nm,0.068647
507nm,0.059998
508nm,0.052265
509nm,0.045877
510nm,0.040299
511nm,0.03555
512nm,0.031543
513nm,0.027917
514nm,0.024691
515nm,0.021556
516nm,0.018624
517nm,0.016129
518nm,0.014044
519nm,0.012443
520nm,0.01106
521nm,0.009916
522nm,0.008843
523nm,0.007818
524nm,0.006942
525nm,0.006192
526nm,0.005619
527nm,0.005133
528nm,0.004777
529nm,0.004614
530nm,0.004614
531nm,0.004874
532nm,0.005296
533nm,0.006396
534nm,0.008548
535nm,0.011827
536nm,0.016363
537nm,0.021642
538nm,0.028229
539nm,0.035692
540nm,0.043695
541nm,0.051054
542nm,0.057533
543nm,0.062836
544nm,0.067485
545nm,0.06977
546nm,0.069501
547nm,0.066067
548nm,0.059967
549nm,0.052024
550nm,0.043333
551nm,0.035131
552nm,0.027796
553nm,0.021032
554nm,0.015142
555nm,0.010349
556nm,0.006476
557nm,0.004071
558nm,0.002533
559nm,0.001861
560nm,0.001209
561nm,0.000647
562nm,0.000272
563nm,0.00008
564nm,0.000026
565nm,0
566nm,0
567nm,0
568nm,0
569nm,0
570nm,0.000025
571nm,0.00017
572nm,0.000435
573nm,0.000985
574nm,0.001742
575nm,0.00274
576nm,0.003804
577nm,0.004931
578nm,0.006098
579nm,0.007305
580nm,0.008677
581nm,0.010198
582nm,0.012006
583nm,0.013993
584nm,0.015721
585nm,0.016754
586nm,0.017349
587nm,0.018449
588nm,0.020219
589nm,0.021462
590nm,0.021672
591nm,0.021258
592nm,0.021169
593nm,0.02095
594nm,0.020071
595nm,0.018634
596nm,0.017287
597nm,0.016301
598nm,0.015639
599nm,0.015111
600nm,0.015482
601nm,0.016648
602nm,0.019309
603nm,0.022853
604nm,0.028094
605nm,0.034894
606nm,0.04337
607nm,0.053164
608nm,0.063935
609nm,0.076193
610nm,0.089381
611nm,0.099769
612nm,0.106543
613nm,0.108432
614nm,0.10871
615nm,0.106007
616nm,0.101055
617nm,0.093483
618nm,0.084097
619nm,0.073995
620nm,0.064601
621nm,0.056758
622nm,0.05106
623nm,0.046709
624nm,0.043719
625nm,0.041039
626nm,0.038361
627nm,0.035371
628nm,0.03235
629nm,0.029663
630nm,0.027155
631nm,0.024452
632nm,0.021711
633nm,0.019308
634nm,0.017132
635nm,0.014672
636nm,0.011908
637nm,0.009435
638nm,0.007603
639nm,0.006507
640nm,0.005764
641nm,0.005389
642nm,0.005109
643nm,0.004937
644nm,0.004789
645nm,0.004614
646nm,0.004388
647nm,0.004582
648nm,0.005323
649nm,0.00636
650nm,0.007152
651nm,0.007397
652nm,0.007261
653nm,0.006836
654nm,0.006361
655nm,0.005944
656nm,0.005574
657nm,0.005106
658nm,0.004415
659nm,0.003596
660nm,0.002884
661nm,0.00255
662nm,0.002663
663nm,0.003229
664nm,0.004208
665nm,0.005119
666nm,0.005461
667nm,0.005213
668nm,0.00483
669nm,0.004662
670nm,0.004539
671nm,0.004408
672nm,0.004451
673nm,0.004529
674nm,0.004256
675nm,0.003622
676nm,0.003005
677nm,0.002869
678nm,0.003307
679nm,0.00384
680nm,0.003942
681nm,0.003506
682nm,0.002956
683nm,0.0025
684nm,0.001885
685nm,0.001403
686nm,0.001529
687nm,0.002331
688nm,0.003348
689nm,0.004075
690nm,0.004491
691nm,0.00486
692nm,0.005447
693nm,0.006119
694nm,0.006596
695nm,0.00737
696nm,0.00875
697nm,0.009766
698nm,0.0098
699nm,0.009221
700nm,0.008984
701nm,0.00866
702nm,0.008076
703nm,0.008194
704nm,0.00942
705nm,0.011347
706nm,0.01307
707nm,0.014635
708nm,0.016
709nm,0.017072
710nm,0.017014
711nm,0.015676
712nm,0.014088
713nm,0.013222
714nm,0.01186
715nm,0.009319
716nm,0.006682
717nm,0.005161
718nm,0.003843
719nm,0.002016
720nm,0.00051
721nm,0
722nm,0
723nm,0.000224
724nm,0.000706
725nm,0.000919
726nm,0.000695
727nm,0.000213
728nm,0.000368
729nm,0.001645
730nm,0.002726
731nm,0.002527
732nm,0.001338
733nm,0.000453
734nm,0.000588
735nm,0.001084
736nm,0.002269
737nm,0.003879
738nm,0.00545
739nm,0.006308
740nm,0.006656
741nm,0.006809
742nm,0.006939
743nm,0.007155
744nm,0.008064
745nm,0.010397
746nm,0.014257
747nm,0.019071
748nm,0.024436
749nm,0.029709
750nm,0.033405
751nm,0.03544
752nm,0.036529
753nm,0.03693
754nm,0.036353
755nm,0.036254
756nm,0.038449
757nm,0.043882
758nm,0.05284
759nm,0.065386
760nm,0.078675
761nm,0.091259
762nm,0.103397
763nm,0.114858
764nm,0.124064
765nm,0.12806
766nm,0.128738
767nm,0.126631
768nm,0.1232
769nm,0.118455
770nm,0.112433
771nm,0.105469
772nm,0.097517
773nm,0.090186
774nm,0.08384
775nm,0.07722
776nm,0.069661
777nm,0.063728
778nm,0.060986
779nm,0.060986
780nm,0.060986
