Model Name, AS7265x
Time, 2019-02-11_19:38:58
DUT, iPhone 7s
Temperature, 32764
X, 286.662397
Y, 158.695828
Z, 28.135386
x, 0.605420
y, 0.335159
410nm,2.785394
435nm,5.843257
460nm,8.801233
485nm,2.902676
510nm,7.118259
535nm,12.096164
560nm,7.165990
585nm,10.159062
610nm,218.991943
645nm,123.805779
680nm,13.640975
705nm,2.459090
730nm,4.550417
760nm,3.451644
810nm,9.854680
860nm,5.568255
900nm,1.212683
940nm,1.810236
