Model Name, AS7265x
Time, 2019-02-11_19:40:56
DUT, iPhone 7s
Temperature, 32764
X, 718.373405
Y, 748.983433
Z, 1035.469679
x, 0.287025
y, 0.299255
410nm,8.356181
435nm,158.741821
460nm,413.657959
485nm,89.982971
510nm,126.546829
535nm,315.211792
560nm,154.068787
585nm,56.798397
610nm,266.178070
645nm,147.351669
680nm,16.564041
705nm,4.566882
730nm,5.460500
760nm,5.177465
810nm,12.542320
860nm,7.795557
900nm,3.638050
940nm,4.525589
