Model Name,AS7265x
Time,2019-02-12_22:49:13
DUT,x220_ips
Temperature, 32765
Gain,64.000000
Integration Time,700.000000
X, 1570.202328
Y, 2567.293305
Z, 718.782701
x, 0.323335
y, 0.528654
410nm,21.354685
435nm,47.719933
460nm,171.624054
485nm,395.731537
510nm,463.477783
535nm,984.770020
560nm,788.258911
585nm,545.818726
610nm,243.189957
645nm,17.849300
680nm,21.435818
705nm,14.403241
730nm,14.561334
760nm,15.532396
810nm,29.564041
860nm,22.273022
900nm,10.914151
940nm,10.861415
