Model Name,AS7265x
Time,2019-02-12_22:56:32
DUT,x220_ips
Temperature, 32764
Gain,64.000000
Integration Time,700.000000
X, 4414.443635
Y, 4471.722653
Z, 6012.991669
x, 0.296288
y, 0.300133
410nm,58.493271
435nm,508.363373
460nm,2516.272461
485nm,1283.950562
510nm,884.245972
535nm,1324.174194
560nm,890.630188
585nm,804.413025
610nm,1687.810913
645nm,298.501068
680nm,304.973236
705nm,76.231789
730nm,93.738586
760nm,64.718323
810nm,84.212723
860nm,56.796204
900nm,22.434643
940nm,26.248421
