Model Name,AS7265x
Time,2019-02-12_22:52:56
DUT,x220_ips
Temperature, 32767
Gain,1.000000
Integration Time,700.000000
X, 19.439080
Y, 16.097111
Z, 82.867051
x, 0.164177
y, 0.135952
410nm,0.000000
435nm,6.817133
460nm,36.965179
485nm,14.513382
510nm,6.327342
535nm,4.980773
560nm,1.535569
585nm,0.923551
610nm,2.419801
645nm,0.379772
680nm,0.974355
705nm,0.000000
730nm,0.000000
760nm,0.000000
810nm,0.000000
860nm,0.000000
900nm,0.000000
940nm,0.000000
