Model Name, AS7265x
Time, 2019-02-11_19:37:07
DUT, Hannstar
Temperature, 32767
X, 303.827254
Y, 289.353114
Z, 273.876772
x, 0.350412
y, 0.333719
410nm,8.356181
435nm,65.249702
460nm,69.529739
485nm,67.729118
510nm,34.800377
535nm,86.807762
560nm,69.612473
585nm,25.859432
610nm,165.756332
645nm,12.152715
680nm,13.640975
705nm,7.025971
730nm,4.550417
760nm,6.040377
810nm,22.397001
860nm,11.136511
900nm,1.819025
940nm,2.715354
