Model Name,GS1160
Serial Number,
Time,2016/10/23_02:21:12
Memo,
I-Time,9300
Lv,67.871094
CCT,0
Duv,0.571439
X,131.255066
Y,67.871094
Z,4.47564
x,0.644666
y,0.333352
u',0.451534
v',0.525341
x10,0.639602
y10,0.337732
u'10,0.443123
v'10,0.526465
dx,0.644666
dy,0.333352
du,0.451534
dv,0.525341
LambdaD,610
Purity,0.936542
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,615
LambdaPValue,4.480692
S,0.212588
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0
411nm,0
412nm,0
413nm,0
414nm,0
415nm,0
416nm,0
417nm,0
418nm,0
419nm,0
420nm,0
421nm,0
422nm,0
423nm,0.000008
424nm,0.000163
425nm,0.000464
426nm,0.000917
427nm,0.0014
428nm,0.001913
429nm,0.002538
430nm,0.003275
431nm,0.004138
432nm,0.00507
433nm,0.006054
434nm,0.007044
435nm,0.007983
436nm,0.008879
437nm,0.009902
438nm,0.011071
439nm,0.01247
440nm,0.014056
441nm,0.015829
442nm,0.017749
443nm,0.019725
444nm,0.021752
445nm,0.023777
446nm,0.025795
447nm,0.027517
448nm,0.028887
449nm,0.029896
450nm,0.030816
451nm,0.031708
452nm,0.032161
453nm,0.03204
454nm,0.031297
455nm,0.03015
456nm,0.028754
457nm,0.027119
458nm,0.025431
459nm,0.023676
460nm,0.021812
461nm,0.019857
462nm,0.017995
463nm,0.016417
464nm,0.015132
465nm,0.014054
466nm,0.013071
467nm,0.012183
468nm,0.011309
469nm,0.010454
470nm,0.009693
471nm,0.00902
472nm,0.008419
473nm,0.007797
474nm,0.007162
475nm,0.00666
476nm,0.006302
477nm,0.006013
478nm,0.005606
479nm,0.005092
480nm,0.004732
481nm,0.004579
482nm,0.004576
483nm,0.004498
484nm,0.004355
485nm,0.004286
486nm,0.004323
487nm,0.004407
488nm,0.004414
489nm,0.004351
490nm,0.004296
491nm,0.004281
492nm,0.004301
493nm,0.004326
494nm,0.004358
495nm,0.004404
496nm,0.004462
497nm,0.004594
498nm,0.004813
499nm,0.005137
500nm,0.005537
501nm,0.005993
502nm,0.006391
503nm,0.006673
504nm,0.006906
505nm,0.007277
506nm,0.007804
507nm,0.008448
508nm,0.009118
509nm,0.009762
510nm,0.010313
511nm,0.010734
512nm,0.010799
513nm,0.01055
514nm,0.010211
515nm,0.010141
516nm,0.010395
517nm,0.010934
518nm,0.011677
519nm,0.012361
520nm,0.012804
521nm,0.013039
