Model Name,GS1160
Serial Number,
Time,2016/10/23_02:21:40
Memo,
I-Time,3500
Lv,23.689676
CCT,0
Duv,0.205018
X,61.039871
Y,23.689676
Z,320.544647
x,0.150614
y,0.058453
u',0.177182
v',0.15472
x10,0.146204
y10,0.083768
u'10,0.157513
v'10,0.203057
dx,0.150614
dy,0.058453
du,0.177182
dv,0.15472
LambdaD,464
Purity,0.929944
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,452
LambdaPValue,10.692902
S,12.510247
380nm,0.000242
381nm,0.000242
382nm,0.000242
383nm,0.000239
384nm,0.000249
385nm,0.000277
386nm,0.000326
387nm,0.000397
388nm,0.000484
389nm,0.000545
390nm,0.000489
391nm,0.000319
392nm,0.000207
393nm,0.000286
394nm,0.000548
395nm,0.000648
396nm,0.00053
397nm,0.000244
398nm,0.000067
399nm,0
400nm,0.000048
401nm,0.000161
402nm,0.000327
403nm,0.000381
404nm,0.000304
405nm,0.000138
406nm,0.000036
407nm,0
408nm,0.000137
409nm,0.000445
410nm,0.000973
411nm,0.001831
412nm,0.002985
413nm,0.004353
414nm,0.005662
415nm,0.00691
416nm,0.008285
417nm,0.009828
418nm,0.01177
419nm,0.014518
420nm,0.01806
421nm,0.022723
422nm,0.02822
423nm,0.03459
424nm,0.041925
425nm,0.049951
426nm,0.05921
427nm,0.069772
428nm,0.081639
429nm,0.095735
430nm,0.111627
431nm,0.129767
432nm,0.150086
433nm,0.172299
434nm,0.197646
435nm,0.225631
436nm,0.256432
437nm,0.291266
438nm,0.32919
439nm,0.371579
440nm,0.417124
441nm,0.465823
442nm,0.519442
443nm,0.576623
444nm,0.637676
445nm,0.699802
446nm,0.762756
447nm,0.821854
448nm,0.875641
449nm,0.921607
450nm,0.957545
451nm,0.984395
452nm,0.997252
453nm,1
454nm,0.990499
455nm,0.967315
456nm,0.933147
457nm,0.887186
458nm,0.836766
459nm,0.781961
460nm,0.726211
461nm,0.671029
462nm,0.618372
463nm,0.569065
464nm,0.523396
465nm,0.482388
466nm,0.444722
467nm,0.411146
468nm,0.379381
469nm,0.349508
470nm,0.321743
471nm,0.295309
472nm,0.27106
473nm,0.248496
474nm,0.227665
475nm,0.20852
476nm,0.190307
477nm,0.173804
478nm,0.158787
479nm,0.145355
480nm,0.134155
481nm,0.124527
482nm,0.116704
483nm,0.109457
484nm,0.102848
485nm,0.09713
486nm,0.09206
487nm,0.08778
488nm,0.083831
489nm,0.080297
490nm,0.07748
491nm,0.075254
492nm,0.073762
493nm,0.072605
494nm,0.071805
495nm,0.071208
496nm,0.070706
497nm,0.070292
498nm,0.0699
499nm,0.069565
500nm,0.069358
501nm,0.069274
502nm,0.06948
503nm,0.069927
504nm,0.070428
505nm,0.070512
506nm,0.070143
507nm,0.069511
508nm,0.068881
509nm,0.068234
510nm,0.067552
511nm,0.066815
512nm,0.065887
513nm,0.064785
514nm,0.063547
515nm,0.062332
516nm,0.061063
517nm,0.059517
518nm,0.057685
519nm,0.055711
520nm,0.053811
521nm,0.051937
522nm,0.049969
523nm,0.047908
524nm,0.046
525nm,0.044302
526nm,0.042656
527nm,0.040788
528nm,0.038686
