Model Name,GS1160
Serial Number,
Time,2016/10/23_02:21:52
Memo,
I-Time,3300
Lv,316.204468
CCT,6735
Duv,0.001626
X,303.186066
Y,316.204468
Z,360.052124
x,0.30955
y,0.322841
u',0.197954
v',0.46452
x10,0.313361
y10,0.323323
u'10,0.20045
v'10,0.46535
dx,-0.000479
dy,0.00263
du,-0.001342
dv,0.001376
LambdaD,486
Purity,0.088658
R1,99.307625
R2,92.298752
R3,78.848198
R4,91.11364
R5,95.482475
R6,85.975006
R7,93.141235
R8,95.593094
R9,97.488571
R10,74.874313
R11,88.428528
R12,56.98597
R13,98.246773
R14,88.085785
R15,95.713318
LambdaP,452
LambdaPValue,11.282544
S,2.309774
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0
401nm,0
402nm,0
403nm,0
404nm,0
405nm,0
406nm,0
407nm,0
408nm,0
409nm,0
410nm,0.000032
411nm,0.000252
412nm,0.000659
413nm,0.001435
414nm,0.002604
415nm,0.004166
416nm,0.006
417nm,0.007934
418nm,0.010112
419nm,0.012802
420nm,0.015994
421nm,0.02029
422nm,0.025697
423nm,0.032252
424nm,0.039827
425nm,0.048057
426nm,0.057668
427nm,0.068991
428nm,0.082025
429nm,0.096942
430nm,0.112972
431nm,0.130663
432nm,0.150825
433nm,0.173282
434nm,0.199132
435nm,0.227553
436nm,0.258715
437nm,0.293829
438nm,0.331977
439nm,0.374559
440nm,0.420341
441nm,0.469324
442nm,0.523112
443nm,0.580314
444nm,0.641217
445nm,0.703122
446nm,0.765794
447nm,0.824563
448nm,0.878007
449nm,0.923681
450nm,0.959543
451nm,0.986535
452nm,0.998879
453nm,1
454nm,0.988105
455nm,0.963997
456nm,0.930671
457nm,0.886457
458nm,0.837
459nm,0.782458
460nm,0.727339
461nm,0.673422
462nm,0.62252
463nm,0.574868
464nm,0.530798
465nm,0.491856
466nm,0.456764
467nm,0.426176
468nm,0.397318
469nm,0.370283
470nm,0.345553
471nm,0.322385
