Model Name,GS1160
Serial Number,
Time,2016/10/23_02:28:10
Memo,
I-Time,3900
Lv,144.699875
CCT,5483
Duv,0.003656
X,138.150894
Y,144.699875
Z,132.201721
x,0.332852
y,0.34863
u',0.20427
v',0.481396
x10,0.337029
y10,0.348406
u'10,0.207186
v'10,0.481903
dx,0.000011
dy,0.007224
du,-0.002746
dv,0.003622
LambdaD,553
Purity,0.045121
R1,98.570366
R2,93.987831
R3,61.568417
R4,90.801468
R5,88.872101
R6,81.033585
R7,94.256287
R8,85.84417
R9,46.336758
R10,59.225094
R11,72.493347
R12,62.609177
R13,96.081703
R14,73.794724
R15,97.683693
LambdaP,545
LambdaPValue,8.780542
S,2.060162
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0.000143
398nm,0.000659
399nm,0.001547
400nm,0.002871
401nm,0.004475
402nm,0.006317
403nm,0.007739
404nm,0.008666
405nm,0.009252
406nm,0.010086
407nm,0.011169
408nm,0.012188
409nm,0.012958
410nm,0.013583
411nm,0.014792
412nm,0.016631
413nm,0.01914
414nm,0.021921
415nm,0.024974
416nm,0.028764
417nm,0.033224
418nm,0.038468
419nm,0.044163
420nm,0.050252
421nm,0.056728
422nm,0.063366
423nm,0.070204
424nm,0.07777
425nm,0.086009
426nm,0.095177
427nm,0.105
428nm,0.115476
429nm,0.132396
430nm,0.156548
431nm,0.188072
432nm,0.221342
433nm,0.255205
434nm,0.28388
435nm,0.303772
436nm,0.314781
437nm,0.320853
438nm,0.325132
439nm,0.323224
440nm,0.312178
441nm,0.291992
442nm,0.271658
443nm,0.256149
444nm,0.247073
445nm,0.242618
446nm,0.242452
447nm,0.244697
448nm,0.246614
449nm,0.248122
450nm,0.249275
451nm,0.250133
452nm,0.250236
453nm,0.249603
454nm,0.248093
455nm,0.245671
456nm,0.242533
457nm,0.23878
458nm,0.234966
459nm,0.231089
460nm,0.227165
461nm,0.223214
462nm,0.21929
463nm,0.215451
464nm,0.211684
465nm,0.207807
466nm,0.203787
467nm,0.199499
468nm,0.194973
469nm,0.190245
470nm,0.186049
471nm,0.182486
472nm,0.179934
473nm,0.178129
474nm,0.177099
475nm,0.176883
476nm,0.17715
477nm,0.178785
478nm,0.18206
479nm,0.187173
480nm,0.196099
481nm,0.208111
482nm,0.223694
483nm,0.24046
484nm,0.258329
485nm,0.275836
486nm,0.292482
487nm,0.305853
488nm,0.315182
489nm,0.319879
490nm,0.318941
491nm,0.313918
492nm,0.303132
493nm,0.289
494nm,0.271482
495nm,0.252705
496nm,0.233753
497nm,0.214539
498nm,0.195162
499nm,0.175971
500nm,0.15789
501nm,0.140958
502nm,0.125962
503nm,0.112291
504nm,0.100433
505nm,0.089943
506nm,0.080629
507nm,0.073148
508nm,0.066839
509nm,0.061981
510nm,0.057666
511nm,0.053899
512nm,0.050671
513nm,0.047747
514nm,0.045184
515nm,0.042755
516nm,0.040545
517nm,0.038687
518nm,0.037138
519nm,0.035697
520nm,0.034117
521nm,0.03257
522nm,0.031376
523nm,0.03058
524nm,0.030478
525nm,0.030866
526nm,0.032282
527nm,0.034556
528nm,0.03797
529nm,0.04274
530nm,0.048572
531nm,0.058647
532nm,0.072655
533nm,0.095177
534nm,0.127327
535nm,0.170282
536nm,0.230986
537nm,0.304859
538nm,0.39791
539nm,0.501093
540nm,0.612718
541nm,0.722495
542nm,0.827344
543nm,0.910491
544nm,0.974575
545nm,1
546nm,0.99563
547nm,0.954221
548nm,0.881339
549nm,0.786583
550nm,0.676197
551nm,0.564804
552nm,0.45802
553nm,0.359708
554nm,0.275085
555nm,0.208832
556nm,0.158175
557nm,0.123732
558nm,0.095205
559nm,0.074677
560nm,0.057251
561nm,0.044014
562nm,0.034489
563nm,0.027854
564nm,0.024188
565nm,0.021795
566nm,0.020794
567nm,0.020083
568nm,0.020749
569nm,0.023672
570nm,0.029082
571nm,0.036997
572nm,0.04631
573nm,0.058168
574nm,0.071578
575nm,0.087369
576nm,0.104546
577nm,0.12282
578nm,0.141074
579nm,0.15873
580nm,0.174964
581nm,0.190063
582nm,0.202518
583nm,0.213061
584nm,0.220571
585nm,0.225959
586nm,0.228522
587nm,0.22764
588nm,0.223868
589nm,0.216867
590nm,0.208379
591nm,0.197783
592nm,0.186288
593nm,0.17353
594nm,0.160111
595nm,0.146942
596nm,0.13546
597nm,0.12612
598nm,0.119098
599nm,0.113321
600nm,0.111726
601nm,0.113333
602nm,0.124413
603nm,0.143403
604nm,0.174364
605nm,0.213815
606nm,0.26191
607nm,0.31729
608nm,0.377987
609nm,0.445288
610nm,0.515991
611nm,0.572083
612nm,0.610483
613nm,0.619336
614nm,0.613689
615nm,0.586949
616nm,0.548394
617nm,0.498252
618nm,0.441332
619nm,0.383847
620nm,0.333308
621nm,0.292723
622nm,0.263622
623nm,0.240528
624nm,0.223958
625nm,0.209242
626nm,0.195935
627nm,0.182265
628nm,0.169402
629nm,0.157994
630nm,0.14726
631nm,0.135616
632nm,0.122653
633nm,0.109102
634nm,0.095519
635nm,0.082192
636nm,0.069505
637nm,0.057984
638nm,0.047828
639nm,0.04022
640nm,0.034646
641nm,0.031917
642nm,0.030565
643nm,0.031148
644nm,0.03246
645nm,0.034173
646nm,0.035555
647nm,0.037035
648nm,0.038993
649nm,0.040781
650nm,0.041789
651nm,0.041821
652nm,0.041497
653nm,0.040764
654nm,0.039631
655nm,0.037857
656nm,0.035491
657nm,0.032799
658nm,0.030189
659nm,0.02842
660nm,0.027874
661nm,0.028352
662nm,0.029195
663nm,0.029855
664nm,0.030391
665nm,0.030809
666nm,0.031019
667nm,0.030933
668nm,0.030483
669nm,0.029845
670nm,0.029227
671nm,0.028724
672nm,0.028187
673nm,0.027554
674nm,0.026933
