Model Name,GS1160
Serial Number,
Time,2016/10/23_02:27:53
Memo,
I-Time,15000
Lv,14.104165
CCT,0
Duv,0.268918
X,33.194546
Y,14.104165
Z,113.583008
x,0.206329
y,0.087668
u',0.226775
v',0.2168
x10,0.197104
y10,0.111777
u'10,0.199744
v'10,0.254868
dx,0.206329
dy,0.087668
du,0.226775
dv,0.2168
LambdaD,437
Purity,0.758492
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,439
LambdaPValue,2.698399
S,7.747421
380nm,0.000114
381nm,0.000114
382nm,0.000114
383nm,0.000085
384nm,0.000047
385nm,0.000009
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0.000002
395nm,0.000067
396nm,0.000195
397nm,0.001003
398nm,0.003428
399nm,0.007468
400nm,0.01256
401nm,0.01773
402nm,0.022917
403nm,0.027409
404nm,0.031186
405nm,0.034213
406nm,0.037024
407nm,0.039618
408nm,0.041916
409nm,0.043992
410nm,0.046048
411nm,0.049239
412nm,0.053608
413nm,0.060147
414nm,0.068898
415nm,0.07986
416nm,0.092743
417nm,0.106613
418nm,0.121878
419nm,0.138634
420nm,0.156795
421nm,0.176574
422nm,0.197276
423nm,0.218998
424nm,0.242706
425nm,0.268099
426nm,0.296045
427nm,0.326152
428nm,0.358419
429nm,0.410195
430nm,0.483747
431nm,0.579556
432nm,0.680833
433nm,0.784113
434nm,0.872135
435nm,0.934024
436nm,0.969374
437nm,0.988249
438nm,1
439nm,0.992555
440nm,0.959745
441nm,0.901571
442nm,0.841722
443nm,0.79391
444nm,0.763685
445nm,0.749082
446nm,0.749276
447nm,0.756778
448nm,0.761925
449nm,0.764666
450nm,0.766803
451nm,0.76875
452nm,0.769149
453nm,0.767621
454nm,0.763752
455nm,0.757232
456nm,0.748576
457nm,0.737428
458nm,0.725113
459nm,0.71157
460nm,0.697176
461nm,0.682327
462nm,0.66661
463nm,0.650114
464nm,0.632812
465nm,0.6149
466nm,0.596685
467nm,0.578215
468nm,0.559783
469nm,0.541326
470nm,0.521846
471nm,0.501326
472nm,0.48015
473nm,0.459556
474nm,0.439624
475nm,0.421473
476nm,0.404845
477nm,0.391194
478nm,0.380305
479nm,0.372452
480nm,0.370151
481nm,0.372175
482nm,0.379069
483nm,0.38739
484nm,0.397023
485nm,0.406044
486nm,0.413849
487nm,0.417218
488nm,0.415182
489nm,0.407101
490nm,0.392539
491nm,0.373564
492nm,0.348852
493nm,0.321241
494nm,0.290929
495nm,0.260605
496nm,0.231206
497nm,0.203676
498nm,0.177657
499nm,0.153751
500nm,0.132192
501nm,0.112612
502nm,0.095824
503nm,0.080689
504nm,0.068015
505nm,0.057543
506nm,0.049032
507nm,0.042261
508nm,0.036091
509nm,0.030971
510nm,0.02669
511nm,0.023244
512nm,0.020259
513nm,0.017358
514nm,0.014874
515nm,0.012883
516nm,0.011354
517nm,0.009859
518nm,0.008246
519nm,0.006942
520nm,0.006095
521nm,0.005643
522nm,0.005115
523nm,0.004464
524nm,0.003967
525nm,0.003701
526nm,0.003554
527nm,0.003257
528nm,0.002864
529nm,0.002627
530nm,0.002596
531nm,0.003134
532nm,0.004148
533nm,0.005834
534nm,0.007969
535nm,0.010626
536nm,0.014515
537nm,0.019439
538nm,0.025673
539nm,0.032442
540nm,0.039552
541nm,0.046291
542nm,0.052494
543nm,0.057228
544nm,0.0608
545nm,0.061863
546nm,0.060885
547nm,0.057445
548nm,0.052078
549nm,0.045442
550nm,0.038231
551nm,0.031296
552nm,0.024871
553nm,0.0188
554nm,0.013446
555nm,0.009291
556nm,0.006228
557nm,0.004498
558nm,0.003385
559nm,0.002721
560nm,0.001832
561nm,0.00088
562nm,0.00027
563nm,0.000069
564nm,0.000083
565nm,0.000063
566nm,0.000025
567nm,0.000004
568nm,0.000088
569nm,0.000354
570nm,0.000869
571nm,0.001811
572nm,0.00309
573nm,0.00455
574nm,0.005917
575nm,0.007683
576nm,0.010198
577nm,0.013591
578nm,0.017574
579nm,0.02186
580nm,0.026171
581nm,0.030305
582nm,0.034522
583nm,0.039019
584nm,0.043712
585nm,0.048309
586nm,0.052415
587nm,0.055477
588nm,0.05749
589nm,0.058357
590nm,0.058714
591nm,0.058452
592nm,0.057998
593nm,0.057067
594nm,0.055678
595nm,0.053937
596nm,0.052239
597nm,0.050842
598nm,0.050058
599nm,0.049776
600nm,0.051115
601nm,0.053677
602nm,0.060895
603nm,0.072439
604nm,0.090335
605nm,0.112544
606nm,0.139226
607nm,0.169947
608nm,0.203871
609nm,0.242016
610nm,0.282518
611nm,0.315441
612nm,0.33871
613nm,0.345286
614nm,0.343283
615nm,0.32932
616nm,0.309133
617nm,0.282818
618nm,0.252661
619nm,0.221861
620nm,0.194479
621nm,0.172263
622nm,0.156087
623nm,0.14311
624nm,0.133433
625nm,0.124559
626nm,0.116401
627nm,0.108202
628nm,0.100377
629nm,0.093074
630nm,0.08611
631nm,0.078976
632nm,0.071579
633nm,0.064122
634nm,0.056697
635nm,0.049281
636nm,0.042046
637nm,0.035408
638nm,0.029553
639nm,0.024972
640nm,0.021347
641nm,0.019232
642nm,0.017963
643nm,0.018067
644nm,0.018805
645nm,0.019907
646nm,0.020737
647nm,0.021968
648nm,0.023968
649nm,0.025825
650nm,0.026613
651nm,0.026155
652nm,0.025356
653nm,0.024512
654nm,0.02371
655nm,0.022745
656nm,0.021426
657nm,0.019839
658nm,0.018303
659nm,0.017281
660nm,0.016952
661nm,0.017345
662nm,0.01827
663nm,0.019097
664nm,0.019308
665nm,0.019175
666nm,0.019553
667nm,0.020417
668nm,0.020774
669nm,0.020241
670nm,0.01944
671nm,0.01897
672nm,0.018706
673nm,0.018308
674nm,0.017552
675nm,0.016746
676nm,0.016478
677nm,0.016752
678nm,0.016974
679nm,0.016652
680nm,0.015934
681nm,0.015408
682nm,0.015454
683nm,0.016077
684nm,0.016914
685nm,0.017224
686nm,0.016743
687nm,0.016108
688nm,0.016105
689nm,0.016434
690nm,0.016198
691nm,0.015291
692nm,0.014436
