Model Name,GS1160
Serial Number,
Time,2016/10/23_02:27:18
Memo,
I-Time,9900
Lv,27.802975
CCT,0
Duv,0.572488
X,53.708317
Y,27.802975
Z,1.4528
x,0.647368
y,0.335121
u',0.452175
v',0.52667
x10,0.64306
y10,0.338709
u'10,0.445148
v'10,0.527549
dx,0.647368
dy,0.335121
du,0.452175
dv,0.52667
LambdaD,610
Purity,0.944688
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,613
LambdaPValue,4.164991
S,0.159691
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0.000009
401nm,0.000032
402nm,0.000065
403nm,0.000075
404nm,0.00006
405nm,0.000027
406nm,0.000007
407nm,0
408nm,0.000003
409nm,0.00001
410nm,0.000037
411nm,0.000151
412nm,0.000354
413nm,0.000655
414nm,0.001004
415nm,0.001401
416nm,0.001499
417nm,0.001246
418nm,0.000728
419nm,0.00048
420nm,0.000533
421nm,0.000936
422nm,0.001539
423nm,0.002328
424nm,0.002882
425nm,0.003136
426nm,0.003161
427nm,0.003306
428nm,0.003573
429nm,0.004095
430nm,0.00484
431nm,0.005816
432nm,0.006859
433nm,0.007935
434nm,0.008947
435nm,0.00982
436nm,0.010536
437nm,0.010874
438nm,0.010883
439nm,0.010469
440nm,0.009822
441nm,0.008943
442nm,0.008152
443nm,0.007584
444nm,0.007242
445nm,0.006923
446nm,0.006613
447nm,0.00647
448nm,0.006522
449nm,0.006659
450nm,0.006431
451nm,0.005802
452nm,0.005113
453nm,0.004734
454nm,0.004645
455nm,0.004523
456nm,0.004288
457nm,0.004
458nm,0.003773
459nm,0.003622
460nm,0.003602
461nm,0.003692
462nm,0.00384
463nm,0.003927
464nm,0.003949
465nm,0.003913
466nm,0.003844
467nm,0.003733
468nm,0.003604
469nm,0.003469
470nm,0.003565
471nm,0.003899
472nm,0.004232
473nm,0.004158
474nm,0.003676
475nm,0.002986
476nm,0.00227
477nm,0.00181
478nm,0.001852
479nm,0.002386
480nm,0.002955
481nm,0.003336
482nm,0.003528
483nm,0.003696
484nm,0.003826
485nm,0.003785
486nm,0.003583
487nm,0.00345
488nm,0.003663
489nm,0.004168
490nm,0.004426
491nm,0.004307
492nm,0.003849
493nm,0.003371
494nm,0.002868
495nm,0.00234
496nm,0.001793
497nm,0.00132
498nm,0.000966
499nm,0.000745
500nm,0.000603
501nm,0.00051
502nm,0.000419
503nm,0.000292
504nm,0.000149
505nm,0.000053
506nm,0.000011
507nm,0.000004
508nm,0
509nm,0.000039
510nm,0.00015
511nm,0.000317
512nm,0.000372
513nm,0.000283
514nm,0.000157
515nm,0.000162
516nm,0.00028
517nm,0.000376
518nm,0.000411
519nm,0.000356
520nm,0.000249
521nm,0.000116
522nm,0.00003
523nm,0
524nm,0
525nm,0
526nm,0
527nm,0
528nm,0
529nm,0
530nm,0
531nm,0.000093
532nm,0.000291
533nm,0.000508
534nm,0.000566
535nm,0.000489
536nm,0.00062
537nm,0.001046
538nm,0.00177
539nm,0.00255
540nm,0.003394
541nm,0.004275
542nm,0.005174
543nm,0.005883
544nm,0.00639
545nm,0.006578
546nm,0.006585
547nm,0.006292
548nm,0.005583
549nm,0.004515
550nm,0.003481
551nm,0.002724
552nm,0.002216
553nm,0.001669
554nm,0.001128
555nm,0.000708
556nm,0.000424
557nm,0.000261
