Model Name,GS1160
Serial Number,
Time,2016/10/23_02:38:35
Memo,
I-Time,30000
Lv,23.445889
CCT,5934
Duv,-0.000383
X,22.820602
Y,23.445889
Z,24.310642
x,0.323343
y,0.332202
u',0.20401
v',0.4716
x10,0.323278
y10,0.337288
u'10,0.20202
v'10,0.474245
dx,-0.000012
dy,-0.000745
du,0.000279
dv,-0.000394
LambdaD,490
Purity,0.034612
R1,47.12056
R2,82.325272
R3,82.074051
R4,31.700079
R5,52.793667
R6,66.1791
R7,84.882332
R8,73.561501
R9,43.46489
R10,59.175842
R11,12.366344
R12,74.509033
R13,52.159744
R14,85.182533
R15,55.641342
LambdaP,613
LambdaPValue,1.430998
S,2.567563
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0
398nm,0
399nm,0
400nm,0.000012
401nm,0.000041
402nm,0.000115
403nm,0.000531
404nm,0.001285
405nm,0.00216
406nm,0.002617
407nm,0.002653
408nm,0.002304
409nm,0.001764
410nm,0.001187
411nm,0.001472
412nm,0.002657
413nm,0.004746
414nm,0.007126
415nm,0.009797
416nm,0.013203
417nm,0.017267
418nm,0.022172
419nm,0.027761
420nm,0.033977
421nm,0.041012
422nm,0.048605
423nm,0.056828
424nm,0.066493
425nm,0.077416
426nm,0.090245
427nm,0.104683
428nm,0.12073
429nm,0.143968
430nm,0.1747
431nm,0.213035
432nm,0.253027
433nm,0.293482
434nm,0.329152
435nm,0.356821
436nm,0.376326
437nm,0.390127
438nm,0.401087
439nm,0.405217
440nm,0.400909
441nm,0.388164
442nm,0.373782
443nm,0.362246
444nm,0.355204
445nm,0.352753
446nm,0.354695
447nm,0.356934
448nm,0.356198
449nm,0.352405
450nm,0.347796
451nm,0.342894
452nm,0.33729
453nm,0.331015
454nm,0.323769
455nm,0.314804
456nm,0.304298
457nm,0.292364
458nm,0.280146
459nm,0.267664
460nm,0.255249
461nm,0.242998
462nm,0.231365
463nm,0.220517
464nm,0.210439
465nm,0.200475
466nm,0.190318
467nm,0.18011
468nm,0.170121
469nm,0.16042
470nm,0.151935
471nm,0.14457
472nm,0.138533
473nm,0.132989
474nm,0.127958
475nm,0.123525
476nm,0.119471
477nm,0.115908
478nm,0.112585
479nm,0.109503
480nm,0.106561
481nm,0.103653
482nm,0.100802
483nm,0.097998
484nm,0.095312
485nm,0.093415
486nm,0.092288
487nm,0.091798
488nm,0.091215
489nm,0.090725
490nm,0.091503
491nm,0.093583
492nm,0.097331
493nm,0.101896
494nm,0.107625
495nm,0.115246
496nm,0.124496
497nm,0.136974
498nm,0.152029
499nm,0.170135
500nm,0.190431
501nm,0.212287
502nm,0.237124
503nm,0.264174
504nm,0.294406
505nm,0.327304
506nm,0.36255
507nm,0.397996
508nm,0.432234
509nm,0.464034
510nm,0.493534
511nm,0.520412
512nm,0.543183
513nm,0.562885
514nm,0.576003
515nm,0.583535
516nm,0.584438
517nm,0.579821
518nm,0.571404
519nm,0.557992
520nm,0.541984
521nm,0.523061
522nm,0.503083
523nm,0.482374
524nm,0.460748
525nm,0.438584
526nm,0.416109
527nm,0.393934
528nm,0.372452
529nm,0.352546
530nm,0.334116
531nm,0.316849
532nm,0.299676
533nm,0.283161
534nm,0.267787
535nm,0.253757
536nm,0.242006
537nm,0.231968
538nm,0.228636
539nm,0.232201
540nm,0.242611
541nm,0.254582
542nm,0.266499
543nm,0.280755
544nm,0.297429
545nm,0.310484
546nm,0.314744
547nm,0.307845
548nm,0.290972
549nm,0.266959
550nm,0.235943
551nm,0.202684
552nm,0.166998
553nm,0.131016
554nm,0.097514
555nm,0.072136
556nm,0.05502
557nm,0.046072
558nm,0.039835
559nm,0.036463
560nm,0.033371
561nm,0.030552
562nm,0.027796
563nm,0.02506
564nm,0.022775
565nm,0.020953
566nm,0.01974
567nm,0.018767
568nm,0.018162
569nm,0.017872
570nm,0.018061
571nm,0.019423
572nm,0.021824
573nm,0.026037
574nm,0.031318
575nm,0.037637
576nm,0.043992
577nm,0.050213
578nm,0.05618
579nm,0.061799
580nm,0.066327
581nm,0.069913
582nm,0.07229
583nm,0.074231
584nm,0.076403
585nm,0.079619
586nm,0.084091
587nm,0.08942
588nm,0.095179
589nm,0.101302
590nm,0.107519
591nm,0.11445
592nm,0.122099
593nm,0.129206
594nm,0.134467
595nm,0.137844
596nm,0.140659
597nm,0.143483
598nm,0.1459
599nm,0.147847
600nm,0.153073
601nm,0.161951
602nm,0.184381
603nm,0.219299
604nm,0.273441
605nm,0.34154
606nm,0.423948
607nm,0.518355
608nm,0.621555
609nm,0.735936
610nm,0.85606
611nm,0.945858
612nm,1
613nm,0.997571
614nm,0.969412
615nm,0.902959
616nm,0.81427
617nm,0.703028
618nm,0.577952
619nm,0.452285
620nm,0.343301
621nm,0.258711
622nm,0.205912
623nm,0.172191
624nm,0.160374
625nm,0.155683
626nm,0.159197
627nm,0.164355
628nm,0.170933
629nm,0.177357
630nm,0.180311
631nm,0.178377
632nm,0.170147
633nm,0.157544
634nm,0.141703
635nm,0.123394
636nm,0.104131
637nm,0.084976
638nm,0.067133
639nm,0.052248
640nm,0.040143
641nm,0.03328
642nm,0.029767
643nm,0.029618
644nm,0.029867
645nm,0.030858
646nm,0.032222
647nm,0.034498
648nm,0.037421
649nm,0.040374
650nm,0.04266
651nm,0.043703
652nm,0.043909
653nm,0.042937
654nm,0.04102
655nm,0.038508
656nm,0.036009
657nm,0.033653
658nm,0.03118
659nm,0.028688
660nm,0.026493
661nm,0.024951
662nm,0.024135
663nm,0.023831
664nm,0.02375
665nm,0.02334
666nm,0.022266
667nm,0.020539
668nm,0.018409
669nm,0.016344
670nm,0.014519
671nm,0.012903
672nm,0.01131
673nm,0.009983
674nm,0.009557
675nm,0.009969
676nm,0.010626
677nm,0.010809
678nm,0.010475
679nm,0.010049
680nm,0.009945
681nm,0.01089
682nm,0.013228
683nm,0.016517
684nm,0.020056
685nm,0.023643
686nm,0.027736
687nm,0.033602
688nm,0.041574
689nm,0.051532
690nm,0.062454
691nm,0.075508
692nm,0.091235
693nm,0.108415
694nm,0.124874
695nm,0.13781
696nm,0.148036
697nm,0.153519
698nm,0.156197
699nm,0.155823
700nm,0.154687
701nm,0.152691
702nm,0.150684
703nm,0.149581
704nm,0.150656
705nm,0.155497
706nm,0.1636
707nm,0.174351
708nm,0.18321
709nm,0.188018
710nm,0.185632
711nm,0.177727
712nm,0.16445
713nm,0.148235
714nm,0.126739
715nm,0.102394
716nm,0.079483
717nm,0.061961
718nm,0.050309
719nm,0.040579
720nm,0.032204
721nm,0.026785
722nm,0.025773
723nm,0.027894
724nm,0.030078
725nm,0.033415
726nm,0.038728
727nm,0.044654
728nm,0.049096
729nm,0.053178
730nm,0.057851
731nm,0.062237
732nm,0.069532
733nm,0.081255
734nm,0.098679
735nm,0.117642
736nm,0.136489
737nm,0.153113
738nm,0.166451
739nm,0.174412
740nm,0.177097
741nm,0.176723
742nm,0.176992
743nm,0.182246
744nm,0.195474
745nm,0.220399
746nm,0.25991
747nm,0.312505
748nm,0.369612
749nm,0.422387
750nm,0.460759
751nm,0.481416
752nm,0.480825
753nm,0.466457
754nm,0.445954
755nm,0.428535
756nm,0.421742
757nm,0.435595
758nm,0.481394
759nm,0.557325
760nm,0.651575
761nm,0.750208
762nm,0.848292
763nm,0.928666
764nm,0.981891
765nm,0.991112
766nm,0.970923
767nm,0.922597
768nm,0.85677
769nm,0.774993
770nm,0.690639
771nm,0.609768
772nm,0.535528
773nm,0.474707
774nm,0.430196
775nm,0.394803
776nm,0.352752
777nm,0.319221
778nm,0.300722
779nm,0.300722
780nm,0.300722
