Model Name,GS1160
Serial Number,
Time,2016/10/23_02:38:23
Memo,
I-Time,40000
Lv,2.552869
CCT,0
Duv,0.269998
X,5.995352
Y,2.552869
Z,20.367872
x,0.207336
y,0.088285
u',0.227545
v',0.218003
x10,0.199226
y10,0.107849
u'10,0.204558
v'10,0.249154
dx,0.207336
dy,0.088285
du,0.227545
dv,0.218003
LambdaD,436
Purity,0.755356
R1,0
R2,0
R3,0
R4,0
R5,0
R6,0
R7,0
R8,0
R9,0
R10,0
R11,0
R12,0
R13,0
R14,0
R15,0
LambdaP,439
LambdaPValue,0.529499
S,7.126614
380nm,0
381nm,0
382nm,0
383nm,0
384nm,0
385nm,0
386nm,0
387nm,0
388nm,0
389nm,0
390nm,0
391nm,0
392nm,0
393nm,0
394nm,0
395nm,0
396nm,0
397nm,0.000116
398nm,0.000536
399nm,0.001258
400nm,0.002055
401nm,0.002701
402nm,0.003211
403nm,0.003867
404nm,0.004708
405nm,0.005862
406nm,0.007339
407nm,0.009138
408nm,0.010516
409nm,0.011145
410nm,0.011112
411nm,0.011442
412nm,0.012279
413nm,0.014549
414nm,0.018695
415nm,0.024715
416nm,0.033259
417nm,0.043622
418nm,0.055984
419nm,0.069125
420nm,0.082886
421nm,0.098544
422nm,0.116374
423nm,0.136541
424nm,0.160347
425nm,0.187077
426nm,0.218782
427nm,0.255447
428nm,0.297072
429nm,0.354711
430nm,0.42813
431nm,0.518162
432nm,0.614178
433nm,0.71367
434nm,0.802787
435nm,0.871634
436nm,0.919906
437nm,0.955561
438nm,0.985854
439nm,1
440nm,0.991609
441nm,0.960681
442nm,0.926179
443nm,0.900134
444nm,0.885599
445nm,0.879786
446nm,0.882113
447nm,0.88631
448nm,0.8866
449nm,0.881878
450nm,0.872459
451nm,0.859035
452nm,0.842111
453nm,0.824369
454nm,0.805112
455nm,0.782049
456nm,0.755399
457nm,0.72643
458nm,0.698323
459nm,0.670785
460nm,0.6413
461nm,0.609576
462nm,0.577082
463nm,0.546522
464nm,0.517924
465nm,0.490406
466nm,0.463208
467nm,0.436506
468nm,0.410162
469nm,0.384201
470nm,0.358791
471nm,0.33378
472nm,0.309778
473nm,0.28692
474nm,0.265275
475nm,0.24542
476nm,0.226846
477nm,0.209885
478nm,0.19364
479nm,0.178182
480nm,0.164143
481nm,0.151203
482nm,0.140057
483nm,0.130233
484nm,0.121744
485nm,0.113935
486nm,0.106247
487nm,0.099487
488nm,0.094053
489nm,0.089967
490nm,0.086547
491nm,0.083283
492nm,0.080902
493nm,0.079628
494nm,0.079747
495nm,0.081567
496nm,0.08473
497nm,0.089314
498nm,0.094381
499nm,0.100211
500nm,0.107083
501nm,0.114879
502nm,0.123392
503nm,0.131991
504nm,0.140681
505nm,0.149394
506nm,0.158117
507nm,0.165513
508nm,0.17154
509nm,0.175267
510nm,0.177245
511nm,0.17731
512nm,0.174882
513nm,0.170748
514nm,0.164817
515nm,0.158474
516nm,0.150973
517nm,0.140627
518nm,0.127562
519nm,0.113958
520nm,0.102015
521nm,0.091775
522nm,0.081856
523nm,0.072116
524nm,0.064002
525nm,0.057464
526nm,0.051773
527nm,0.045106
528nm,0.037901
529nm,0.032009
530nm,0.027765
531nm,0.024427
532nm,0.020746
533nm,0.017317
534nm,0.015037
535nm,0.013912
536nm,0.013101
537nm,0.012012
538nm,0.010737
539nm,0.009541
540nm,0.008531
541nm,0.007818
542nm,0.007375
543nm,0.006864
544nm,0.006118
545nm,0.005674
546nm,0.006014
547nm,0.006722
548nm,0.006425
549nm,0.004871
550nm,0.003412
551nm,0.002893
552nm,0.002893
553nm,0.00226
554nm,0.001154
555nm,0.000329
556nm,0
557nm,0
558nm,0
559nm,0
560nm,0
561nm,0
562nm,0
563nm,0
564nm,0
565nm,0
566nm,0
567nm,0
568nm,0
569nm,0
570nm,0
571nm,0
572nm,0
573nm,0
574nm,0
575nm,0.000105
576nm,0.00037
577nm,0.000738
578nm,0.001012
579nm,0.00125
580nm,0.002382
581nm,0.004501
582nm,0.006887
583nm,0.008571
584nm,0.010293
585nm,0.01314
586nm,0.017001
587nm,0.020758
588nm,0.023848
589nm,0.025891
590nm,0.027264
591nm,0.029131
592nm,0.032229
593nm,0.035758
594nm,0.038205
595nm,0.039901
596nm,0.04228
597nm,0.045625
598nm,0.048916
599nm,0.051521
600nm,0.054682
601nm,0.058942
602nm,0.06814
603nm,0.082181
604nm,0.104004
605nm,0.131791
606nm,0.166129
607nm,0.206474
608nm,0.250777
609nm,0.297338
610nm,0.343441
611nm,0.378173
612nm,0.401644
613nm,0.40375
614nm,0.393625
615nm,0.366545
616nm,0.330727
617nm,0.285857
618nm,0.23468
619nm,0.18267
620nm,0.137776
621nm,0.103446
622nm,0.082019
623nm,0.067857
624nm,0.062347
625nm,0.05988
626nm,0.061441
627nm,0.064272
628nm,0.067593
629nm,0.070021
630nm,0.070392
631nm,0.068938
632nm,0.065311
633nm,0.060096
634nm,0.053563
635nm,0.04589
636nm,0.03769
637nm,0.029534
638nm,0.022098
639nm,0.016364
640nm,0.012122
641nm,0.009731
642nm,0.008089
643nm,0.007741
644nm,0.008034
645nm,0.008871
646nm,0.009622
647nm,0.010201
648nm,0.010675
649nm,0.010929
650nm,0.011018
651nm,0.010895
652nm,0.010658
653nm,0.010203
654nm,0.00952
655nm,0.008746
656nm,0.00809
657nm,0.007415
658nm,0.006445
659nm,0.005574
660nm,0.005442
661nm,0.005834
662nm,0.005885
663nm,0.005528
664nm,0.005572
665nm,0.006017
666nm,0.005978
667nm,0.004979
668nm,0.003362
669nm,0.002054
670nm,0.001682
671nm,0.00209
672nm,0.002561
673nm,0.002544
674nm,0.002304
675nm,0.002309
676nm,0.002739
677nm,0.00335
678nm,0.003738
679nm,0.003636
680nm,0.003173
681nm,0.002514
682nm,0.00162
683nm,0.00139
684nm,0.002676
685nm,0.004807
686nm,0.006355
687nm,0.007423
688nm,0.009326
689nm,0.012591
690nm,0.016314
691nm,0.021533
692nm,0.028915
693nm,0.037333
694nm,0.044891
695nm,0.0506
696nm,0.055559
697nm,0.059495
698nm,0.062702
699nm,0.06363
700nm,0.062666
701nm,0.05869
702nm,0.054084
703nm,0.051465
704nm,0.052165
705nm,0.05563
706nm,0.059036
707nm,0.06182
708nm,0.063793
709nm,0.065374
710nm,0.065376
711nm,0.063171
712nm,0.057157
713nm,0.04874
714nm,0.039371
715nm,0.030845
716nm,0.024456
717nm,0.019219
718nm,0.014645
719nm,0.009898
720nm,0.005358
721nm,0.002137
722nm,0.000434
723nm,0
724nm,0.000036
725nm,0.002043
726nm,0.00591
727nm,0.011184
728nm,0.015187
729nm,0.016938
730nm,0.017022
731nm,0.016289
732nm,0.018167
733nm,0.023004
734nm,0.030415
735nm,0.037373
736nm,0.041321
737nm,0.044636
738nm,0.05027
739nm,0.057054
740nm,0.061616
741nm,0.06343
742nm,0.065936
743nm,0.070995
744nm,0.078189
745nm,0.088841
746nm,0.105463
747nm,0.127955
748nm,0.154092
749nm,0.179019
750nm,0.196526
751nm,0.205164
752nm,0.204862
753nm,0.202034
754nm,0.199156
755nm,0.198431
756nm,0.201429
757nm,0.212022
758nm,0.236706
759nm,0.275328
760nm,0.32853
761nm,0.387435
762nm,0.44545
763nm,0.491063
764nm,0.523004
765nm,0.532169
766nm,0.525092
767nm,0.504829
768nm,0.479581
769nm,0.447382
770nm,0.411738
771nm,0.376138
772nm,0.34079
773nm,0.308656
774nm,0.282498
775nm,0.260135
776nm,0.233942
777nm,0.213323
778nm,0.202326
779nm,0.202326
780nm,0.202326
